# Logfile created on 2026-02-09 02:45:52 +0100 by logger.rb/v1.6.0
2026-02-09 02:45:52 +0100: Memory Usage (422820K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/dac128module.gds
2026-02-09 02:45:52 +0100: Memory Usage (422820K) : Ruby Version for klayout: 3.3.10
2026-02-09 02:45:52 +0100: Memory Usage (423996K) : Loading database to memory is complete.
2026-02-09 02:45:52 +0100: Memory Usage (423996K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_dac128module/dac128module_dac128module_main.lyrdb
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : Evaluate switches.
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : tables selected: main
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : deep mode is enabled.
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : FEOL enabled: true
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : BEOL enabled: true
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : OFFGRID enabled: true
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : PIN enabled: true
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : FORBIDDEN enabled: true
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : RECOMMENDED enabled: true
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : PreCheck DRC enabled: false
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : CONNECTIVITY_RULES enabled: true.
2026-02-09 02:45:52 +0100: Memory Usage (424184K) : Read in polygons from layers.
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : activ_drw has 1852 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : activ_pin has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : activ_mask has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : activ_filler has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : activ_nofill has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : activ_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : activ_iopc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : activ_noqrc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : biwind_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : biwind_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : pemwind_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : gatpoly_drw has 1988 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : gatpoly_pin has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : gatpoly_filler has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : gatpoly_nofill has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : gatpoly_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : gatpoly_iopc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : gatpoly_noqrc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : cont_drw has 8324 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : cont_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : nsd_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : nsd_block has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425640K) : metal1_drw has 6770 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425768K) : metal1_pin has 934 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425768K) : metal1_mask has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425768K) : metal1_filler has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425768K) : metal1_nofill has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (425768K) : metal1_slit has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (426072K) : metal1_text has 934 polygons
2026-02-09 02:45:52 +0100: Memory Usage (426072K) : metal1_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (426328K) : metal1_noqrc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (426328K) : metal1_res has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (426456K) : metal1_iprobe has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (426456K) : metal1_diffprb has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (426456K) : passiv_drw has 0 polygons
