# Logfile created on 2026-02-11 01:04:06 +0100 by logger.rb/v1.6.0
2026-02-11 01:04:06 +0100: Memory Usage (422624K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/macro/gds/heichips25_pudding.gds
2026-02-11 01:04:06 +0100: Memory Usage (422624K) : Ruby Version for klayout: 3.3.10
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : Loading database to memory is complete.
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_heichips25_pudding/heichips25_pudding_heichips25_pudding_main.lyrdb
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : Evaluate switches.
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : tables selected: main
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : deep mode is enabled.
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : FEOL enabled: true
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : BEOL enabled: true
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : OFFGRID enabled: true
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : PIN enabled: true
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : FORBIDDEN enabled: true
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : RECOMMENDED enabled: true
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : PreCheck DRC enabled: false
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : CONNECTIVITY_RULES enabled: true.
2026-02-11 01:04:06 +0100: Memory Usage (427892K) : Read in polygons from layers.
2026-02-11 01:04:06 +0100: Memory Usage (429748K) : activ_drw has 34743 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430004K) : activ_pin has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430132K) : activ_mask has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430132K) : activ_filler has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430132K) : activ_nofill has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430260K) : activ_opc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430260K) : activ_iopc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430388K) : activ_noqrc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430388K) : biwind_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430516K) : biwind_opc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430516K) : pemwind_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430516K) : gatpoly_drw has 30292 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430516K) : gatpoly_pin has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430516K) : gatpoly_filler has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430516K) : gatpoly_nofill has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430644K) : gatpoly_opc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430644K) : gatpoly_iopc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430644K) : gatpoly_noqrc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430772K) : cont_drw has 227519 polygons
2026-02-11 01:04:06 +0100: Memory Usage (430772K) : cont_opc has 0 polygons
