2026-02-09 14:00:04 +0100: Memory Usage (422164K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/librelane/runs/RUN_2026-02-09_04-26-24/57-magic-streamout/heichips25_pudding.gds
2026-02-09 14:00:04 +0100: Memory Usage (422320K) : Ruby Version for klayout: 3.3.10
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : Loading database to memory is complete.
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/librelane/runs/RUN_2026-02-09_04-26-24/64-klayout-drc/reports/drc.klayout.lyrdb
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : Evaluate switches.
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : tables selected: main
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : KLayout will use 8 thread(s) in tiling mode.
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : deep mode is enabled.
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : FEOL enabled: true
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : BEOL enabled: true
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : OFFGRID enabled: true
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : PIN enabled: true
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : FORBIDDEN enabled: true
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : RECOMMENDED enabled: false
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : PreCheck DRC enabled: false
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : CONNECTIVITY_RULES enabled: true.
2026-02-09 14:00:04 +0100: Memory Usage (427376K) : Read in polygons from layers.
2026-02-09 14:00:04 +0100: Memory Usage (429216K) : activ_drw has 32668 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429472K) : activ_pin has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429600K) : activ_mask has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429600K) : activ_filler has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429600K) : activ_nofill has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429728K) : activ_opc has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429728K) : activ_iopc has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429856K) : activ_noqrc has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429856K) : biwind_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429984K) : biwind_opc has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (429984K) : pemwind_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (430112K) : gatpoly_drw has 28611 polygons
2026-02-09 14:00:04 +0100: Memory Usage (430112K) : gatpoly_pin has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (430240K) : gatpoly_filler has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (430240K) : gatpoly_nofill has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (430240K) : gatpoly_opc has 0 polygons
