Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,614
design__instance__area,4470.68
design__instance_unmapped__count,0
synthesis__check_error__count,160
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0
power__switching__total,0
power__leakage__total,3.3603647864310915E-8
power__total,3.3603647864310915E-8
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,0
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0
timing__hold__ws__corner:nom_fast_1p32V_m40C,1000000043329398900000000000000000000000
timing__setup__ws__corner:nom_fast_1p32V_m40C,1000000043329398900000000000000000000000
timing__hold__tns__corner:nom_fast_1p32V_m40C,0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,inf
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,inf
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,0
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0
timing__hold__ws__corner:nom_slow_1p08V_125C,1000000043329398900000000000000000000000
timing__setup__ws__corner:nom_slow_1p08V_125C,1000000043329398900000000000000000000000
timing__hold__tns__corner:nom_slow_1p08V_125C,0
timing__setup__tns__corner:nom_slow_1p08V_125C,0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,inf
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,inf
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,0
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0
timing__hold__ws__corner:nom_typ_1p20V_25C,1000000043329398900000000000000000000000
timing__setup__ws__corner:nom_typ_1p20V_25C,1000000043329398900000000000000000000000
timing__hold__tns__corner:nom_typ_1p20V_25C,0
timing__setup__tns__corner:nom_typ_1p20V_25C,0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,inf
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,inf
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0
clock__skew__worst_setup,0
timing__hold__ws,1000000043329398900000000000000000000000
timing__setup__ws,1000000043329398900000000000000000000000
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 80.0 70.0
design__core__bbox,2.88 3.78 76.8 64.26
design__io,98
design__die__area,5600
design__core__area,4470.68
design__instance__count__stdcell,384
design__instance__area__stdcell,3483.65
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.779221
design__instance__utilization__stdcell,0.779221
design__rows,16
design__rows:CoreSite,16
design__sites,2464
design__sites:CoreSite,2464
design__instance__count__class:buffer,32
design__instance__area__class:buffer,464.486
design__instance__count__class:multi_input_combinational_cell,352
design__instance__area__class:multi_input_combinational_cell,3019.16
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,2367.49
design__violations,0
global_route__vias,750
global_route__wirelength,3301
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,384
route__net__special,2
route__drc_errors__iter:0,13
route__wirelength__iter:0,2310
route__drc_errors__iter:1,0
route__wirelength__iter:1,2311
route__drc_errors,0
route__wirelength,2311
route__vias,709
route__vias__singlecut,709
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,51.3
design__instance__count__class:fill_cell,230
design__instance__area__class:fill_cell,987.034
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.37444E-7
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,1.51769E-7
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,8.71113E-8
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,1.51769E-7
design_powergrid__voltage__worst,1.51769E-7
design_powergrid__voltage__worst__net:VPWR,1.2
design_powergrid__drop__worst,1.51769E-7
design_powergrid__drop__worst__net:VPWR,1.37444E-7
design_powergrid__voltage__worst__net:VGND,1.51769E-7
design_powergrid__drop__worst__net:VGND,1.51769E-7
ir__voltage__worst,1.2
ir__drop__avg,9.25E-8
ir__drop__worst,1.37E-7
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
